,Timestamp,Presion descanso PV,Presion descanso LL,Presion descanso HL,Potencia PV,Potencia HL,Potencia DSHL,Corriente PV,Corriente HL,Corriente DSHL,Tonelaje HL,Tonelaje SP,Tonelaje PV,Velocidad HL,Velocidad SP,Velocidad PV,% Solidos HL,% Solidos LL,% Solidos SP,% Solidos PV,% Gruesos,% Intermedios,% Finos,Controller Mode,Status Feeder 1,Status Feeder 2,Status Feeder 3,Status Feeder 4,Status Feeder 5,Status Feeder 6,Tonelaje OP
2235,2023-01-31 09:18:45,5202.42919921875,5250,5400,700,12000,11800,1050.5330810546875,2130,2110,2910,0.6404566764831543,0.6404566764831543,9.800000190734863,4.0,0.9900000095367432,69,68,68.00981140136719,89.34051513671875,53.094810485839844,20.010498046875,26.894691467285156,0,0,0,0,0,0,0,0.0
2236,2023-01-31 09:19:00,5177.70263671875,5250,5400,740,12000,11800,1087.29833984375,2130,2110,2910,0.639711856842041,0.639711856842041,9.800000190734863,5.0,1.0,69,68,68.00981140136719,75.19020080566406,63.8541374206543,17.523420333862305,18.6224422454834,0,0,0,0,0,0,0,0.0
2237,2023-01-31 09:19:15,5150.04638671875,5250,5400,2090,12000,11800,1140.3990478515625,2130,2110,2910,0.6401429772377014,0.6400730609893799,9.800000190734863,5.0,2.680000066757202,69,68,68.00981140136719,31.707073211669922,58.59458923339844,19.163545608520508,22.241865158081055,0,0,0,0,0,0,0,0.0
2238,2023-01-31 09:19:30,5133.81201171875,5250,5400,4110,12000,11800,1328.751953125,2130,2110,2910,0.6401165127754211,0.6401715278625488,9.800000190734863,5.0,4.820000171661377,69,68,68.00981140136719,15.429974555969238,89.38189697265625,4.650935649871826,5.967169284820557,0,0,0,0,0,0,0,0.0
2239,2023-01-31 09:19:45,5125.5166015625,5250,5400,4330,12000,11800,1380.060791015625,2130,2110,2910,0.6397700309753418,0.6397745013237,9.800000190734863,5.0,5.010000228881836,69,68,68.00981140136719,12.612924575805664,84.39347076416016,6.61004638671875,8.99648380279541,0,0,0,0,0,0,0,0.0
2240,2023-01-31 09:20:00,5122.45849609375,5250,5400,4440,12000,11800,1429.531982421875,2130,2110,2910,0.6413396596908569,0.641129732131958,9.800000190734863,7.0,5.260000228881836,69,68,68.00981140136719,9.78532600402832,80.61752319335938,7.1683855056762695,12.21408748626709,0,0,0,0,0,0,0,0.0
2241,2023-01-31 09:20:15,5120.31982421875,5250,5400,7030,12000,11800,1597.1058349609375,2130,2110,2910,0.6425146460533142,0.6424674987792969,9.800000190734863,7.0,7.0,69,68,68.00981140136719,7.680266857147217,74.81913757324219,12.563851356506348,12.617012977600098,0,0,1,0,1,1,0,70.0
2242,2023-01-31 09:20:30,5116.20849609375,5250,5400,7160,12000,11800,1641.707275390625,2130,2110,2910,0.6430623531341553,0.642961859703064,9.800000190734863,7.0,7.0,69,68,68.00981140136719,7.09494161605835,48.24375915527344,19.31084442138672,32.445396423339844,0,0,1,0,1,1,0,70.0
2243,2023-01-31 09:20:45,5108.66455078125,5250,5400,7250,12000,11800,1684.2969970703125,2130,2110,2910,0.6449199914932251,0.6449199914932251,9.800000190734863,7.0,7.0,69,68,68.00981140136719,6.900503158569336,39.73937225341797,23.566234588623047,36.694393157958984,0,0,1,0,1,1,0,70.0
2244,2023-01-31 09:21:00,5101.85498046875,5250,5400,7230,12000,11800,1692.0626220703125,2130,2110,2910,5.393743991851807,5.393743991851807,9.800000190734863,7.0,7.0,69,68,68.00981140136719,6.988163948059082,12.543312072753906,22.07086181640625,65.38582611083984,0,0,1,0,1,1,0,70.0
